COLUMN_NAME,DATA_TYPE,IS_NULLABLE
PersonRecordID,int,NO
PersonContactRecordID,int,YES
PersonCountryRecordID,int,YES
PersonTitle,nvarchar,YES
PersonGraduation,nvarchar,YES
PersonNameFirst,nvarchar,YES
PersonNameMiddle,nvarchar,YES
PersonNameLast,nvarchar,YES
PersonNameDisplay,nvarchar,YES
PersonNameSuffix,nchar,YES
PersonDateOfBirth,date,YES
PersonGender,nvarchar,YES
PersonDepartment,nvarchar,YES
PersonPosition,nvarchar,YES
ContactRepresentative,nvarchar,YES
PersonRating,tinyint,YES
PersonSearchTags,nvarchar,YES
PersonInfo,nvarchar,YES
PersonGreetingTitle,nvarchar,YES
PersonGreetingName,nvarchar,YES
PersonImage1,nvarchar,YES
PersonImage2,nvarchar,YES
PersonValidated,bit,YES
PersonValidatedOn,datetime,YES
PersonValidatedBy,int,YES
PersonStatus,int,NO
ikavios_adrps_mndt,int,YES
ikavios_adrps_adrk,int,YES
ikavios_adrps_adgrp,int,YES
ikavios_adrps_adrad,int,YES
ikavios_adrps_lfdnr,int,YES
ForeignRecordID,varchar,NO
ForeignDataSource,varchar,YES
ForeignUserID,varchar,YES
